week_date,hy_code,high,low
2005-06-10,880301,178.72,157.22
2005-06-17,880301,169.69,156.69
2005-06-24,880301,170.85,158.16
2005-07-01,880301,170.68,154.01
2005-07-08,880301,155.85,145.52
2005-07-15,880301,151.31,134.84
2005-07-22,880301,147.06,137.25
2005-07-29,880301,160.39,141.41
2005-08-05,880301,170.09,155.36
2005-08-12,880301,177.66,166.24
2005-08-19,880301,176.66,162.28
2005-08-26,880301,168.59,159.04
2005-09-02,880301,166.1,155.5
2005-09-09,880301,175.37,163.97
2005-09-16,880301,178.08,168.5
2005-09-23,880301,180.5,165.08
2005-09-30,880301,170.38,163.61
2005-10-14,880301,177.13,164.81
2005-10-21,880301,175.12,166.5
2005-10-28,880301,172.43,150.42
2005-11-04,880301,155.73,147.45
2005-11-11,880301,154.46,143.68
2005-11-18,880301,151.86,141.83
2005-11-25,880301,152.48,146.23
2005-12-02,880301,151.07,145.98
2005-12-09,880301,152.84,143.57
2005-12-16,880301,157.49,151.42
2005-12-23,880301,159.51,153.92
2005-12-30,880301,167.72,156.83
2006-01-06,880301,170.27,162.72
2006-01-13,880301,176.13,167.99
2006-01-20,880301,177.41,166.52
2006-01-27,880301,186.07,173.76
2006-02-10,880301,203.2,182.15
2006-02-17,880301,209.1,191.01
2006-02-24,880301,201.71,188.96
2006-03-03,880301,198.85,188.54
2006-03-10,880301,194.12,179.55
2006-03-17,880301,189.57,181.4
2006-03-24,880301,198.49,182.63
2006-03-31,880301,202.72,191.07
2006-04-07,880301,209.65,198.41
2006-04-14,880301,219.92,199.79
2006-04-21,880301,215.54,200.72
2006-04-28,880301,234.52,206.4
2006-05-12,880301,246.09,217.65
2006-05-19,880301,271.63,234.35
2006-05-26,880301,255.8,229.52
2006-06-02,880301,263.95,242.22
2006-06-09,880301,261.36,230.52
2006-06-16,880301,238.04,221.92
2006-06-23,880301,246.49,227.37
2006-06-30,880301,251.19,235.08
2006-07-07,880301,255.99,240.46
2006-07-14,880301,255.98,230.99
2006-07-21,880301,247.13,234.25
2006-07-28,880301,239.74,227.19
2006-08-04,880301,230.32,209.64
2006-08-11,880301,218.28,203.77
2006-08-18,880301,218.67,208.81
2006-08-25,880301,219.17,205.35
2006-09-01,880301,225.22,215.18
2006-09-08,880301,221.87,214.63
2006-09-15,880301,219.66,212.26
2006-09-22,880301,225.47,217.06
2006-09-29,880301,219.3,211.21
2006-10-13,880301,224.95,215.63
2006-10-20,880301,227.37,220.49
2006-10-27,880301,225.57,215.15
2006-11-03,880301,231.97,213.68
2006-11-10,880301,243.24,224.05
2006-11-17,880301,228.09,214.02
2006-11-24,880301,234.23,218.76
2006-12-01,880301,247.96,227.63
2006-12-08,880301,253.51,232.93
2006-12-15,880301,253.93,232.58
2006-12-22,880301,275.33,248.78
2006-12-29,880301,273.74,257.21
2007-01-05,880301,291.14,267.79
2007-01-12,880301,317.15,281.56
2007-01-19,880301,315.21,279.15
2007-01-26,880301,337.33,294.61
2007-02-02,880301,341.18,302.76
2007-02-09,880301,332.95,308.67
2007-02-16,880301,361.29,322.77
2007-03-02,880301,387.48,336.76
2007-03-09,880301,362.94,336.0
2007-03-16,880301,375.87,351.74
2007-03-23,880301,384.81,348.14
2007-03-30,880301,396.8,371.83
2007-04-06,880301,423.38,378.47
2007-04-13,880301,457.87,416.01
2007-04-20,880301,510.25,443.28
2007-04-27,880301,563.03,512.68
2007-05-04,880301,549.5,528.41
2007-05-11,880301,581.74,535.56
2007-05-18,880301,616.07,545.33
2007-05-25,880301,694.63,578.76
2007-06-01,880301,702.09,586.09
2007-06-08,880301,646.54,499.4
2007-06-15,880301,703.67,634.0
2007-06-22,880301,727.24,638.53
2007-06-29,880301,678.43,595.3
2007-07-06,880301,660.32,588.26
2007-07-13,880301,688.62,636.51
2007-07-20,880301,675.78,631.44
2007-07-27,880301,793.65,661.05
2007-08-03,880301,871.4,772.25
2007-08-10,880301,897.53,803.59
2007-08-17,880301,849.25,790.81
2007-08-24,880301,948.57,813.84
2007-08-31,880301,994.47,895.09
2007-09-07,880301,1127.73,992.66
2007-09-14,880301,1196.08,1001.91
2007-09-21,880301,1347.08,1143.12
2007-09-28,880301,1390.8,1181.91
2007-10-12,880301,1376.11,1182.25
2007-10-19,880301,1355.7,1198.46
2007-10-26,880301,1214.17,1023.75
2007-11-02,880301,1191.4,1064.11
2007-11-09,880301,1095.82,993.38
2007-11-16,880301,999.59,901.23
2007-11-23,880301,1024.66,927.05
2007-11-30,880301,1022.69,948.32
2007-12-07,880301,1024.84,951.85
2007-12-14,880301,1064.15,959.65
2007-12-21,880301,1028.4,956.79
2007-12-28,880301,1090.44,1022.99
2008-01-04,880301,1099.89,1028.15
2008-01-11,880301,1218.17,1074.07
2008-01-18,880301,1212.57,1078.45
2008-01-25,880301,1175.14,1004.58
2008-02-01,880301,1138.81,937.57
2008-02-08,880301,1065.58,993.53
2008-02-15,880301,1037.43,981.81
2008-02-22,880301,1079.36,985.59
2008-02-29,880301,1010.92,885.87
2008-03-07,880301,988.68,916.44
2008-03-14,880301,1002.34,892.61
2008-03-21,880301,954.38,790.96
2008-03-28,880301,877.46,752.03
2008-04-04,880301,818.53,723.9
2008-04-11,880301,860.39,753.74
2008-04-18,880301,865.36,758.54
2008-04-25,880301,940.39,749.61
2008-05-02,880301,935.58,873.97
2008-05-09,880301,1041.46,920.63
2008-05-16,880301,1038.3,950.38
2008-05-23,880301,1065.21,950.97
2008-05-30,880301,1029.16,920.02
2008-06-06,880301,970.25,857.98
2008-06-13,880301,879.43,785.88
2008-06-20,880301,824.53,707.95
2008-06-27,880301,820.56,728.71
2008-07-04,880301,790.4,685.73
2008-07-11,880301,794.18,690.82
2008-07-18,880301,793.33,659.84
2008-07-25,880301,737.06,681.35
2008-08-01,880301,722.82,640.36
2008-08-08,880301,661.42,568.5
2008-08-15,880301,573.69,527.64
2008-08-22,880301,557.05,489.68
2008-08-29,880301,531.99,479.4
2008-09-05,880301,514.01,430.4
2008-09-12,880301,440.75,391.22
2008-09-19,880301,411.41,349.63
2008-09-26,880301,496.89,427.58
2008-10-10,880301,460.99,346.6
2008-10-17,880301,377.04,301.57
2008-10-24,880301,349.6,303.2
2008-10-31,880301,325.56,282.55
2008-11-07,880301,312.64,280.9
2008-11-14,880301,366.69,299.42
2008-11-21,880301,370.2,320.45
2008-11-28,880301,342.71,308.2
2008-12-05,880301,374.26,305.16
2008-12-12,880301,403.83,355.84
2008-12-19,880301,396.89,346.95
2008-12-26,880301,392.15,344.84
2009-01-02,880301,353.87,333.8
2009-01-09,880301,400.22,341.26
2009-01-16,880301,414.09,371.76
2009-01-23,880301,430.36,392.36
2009-02-06,880301,462.08,413.2
2009-02-13,880301,493.49,444.13
2009-02-20,880301,515.91,444.94
2009-02-27,880301,484.28,394.07
2009-03-06,880301,449.67,384.27
2009-03-13,880301,450.72,410.91
2009-03-20,880301,511.73,412.99
2009-03-27,880301,526.38,479.49
2009-04-03,880301,576.28,485.15
2009-04-10,880301,592.65,533.06
2009-04-17,880301,666.4,588.94
2009-04-24,880301,626.63,554.02
2009-05-01,880301,617.93,559.42
2009-05-08,880301,708.13,609.68
2009-05-15,880301,730.78,634.13
2009-05-22,880301,808.23,693.75
2009-05-29,880301,744.79,688.27
2009-06-05,880301,767.0,711.43
2009-06-12,880301,752.82,705.87
2009-06-19,880301,758.36,685.77
2009-06-26,880301,769.99,700.2
2009-07-03,880301,877.53,747.47
2009-07-10,880301,921.01,838.82
2009-07-17,880301,979.27,859.03
2009-07-24,880301,1116.07,963.86
2009-07-31,880301,1099.32,938.1
2009-08-07,880301,1104.54,953.8
2009-08-14,880301,991.29,898.51
2009-08-21,880301,905.7,784.1
2009-08-28,880301,928.08,812.02
2009-09-04,880301,831.5,707.82
2009-09-11,880301,887.37,780.8
2009-09-18,880301,923.68,856.56
2009-09-25,880301,886.4,773.15
2009-10-02,880301,811.32,745.02
2009-10-09,880301,851.06,802.29
2009-10-16,880301,922.77,827.64
2009-10-23,880301,990.42,898.63
2009-10-30,880301,988.71,900.21
2009-11-06,880301,990.13,877.64
2009-11-13,880301,996.12,930.79
2009-11-20,880301,1071.75,955.68
2009-11-27,880301,1077.09,965.93
2009-12-04,880301,1102.32,982.79
2009-12-11,880301,1097.2,1024.33
2009-12-18,880301,1070.86,969.79
2009-12-25,880301,994.89,909.5
2010-01-01,880301,1021.47,981.02
2010-01-08,880301,1068.06,983.95
2010-01-15,880301,1038.12,928.84
2010-01-22,880301,978.06,843.84
2010-01-29,880301,876.71,809.76
2010-02-05,880301,859.6,785.81
2010-02-12,880301,856.07,795.44
2010-02-26,880301,862.35,806.59
2010-03-05,880301,858.66,814.85
2010-03-12,880301,863.82,817.45
2010-03-19,880301,835.95,785.9
2010-03-26,880301,854.98,816.8
2010-04-02,880301,914.5,839.93
2010-04-09,880301,942.71,879.98
2010-04-16,880301,932.03,877.58
2010-04-23,880301,913.04,823.65
2010-04-30,880301,902.52,811.16
2010-05-07,880301,855.9,720.57
2010-05-14,880301,772.32,716.91
2010-05-21,880301,748.22,694.09
2010-05-28,880301,790.82,737.99
2010-06-04,880301,769.32,713.99
2010-06-11,880301,736.83,695.92
2010-06-18,880301,742.52,702.43
2010-06-25,880301,738.14,693.14
2010-07-02,880301,702.9,580.96
2010-07-09,880301,657.16,576.1
2010-07-16,880301,670.68,627.37
2010-07-23,880301,736.07,638.45
2010-07-30,880301,758.71,714.41
2010-08-06,880301,780.11,723.87
2010-08-13,880301,772.82,712.77
2010-08-20,880301,802.12,727.8
2010-08-27,880301,773.65,731.32
2010-09-03,880301,774.99,745.22
2010-09-10,880301,798.22,748.83
2010-09-17,880301,777.88,715.08
2010-09-24,880301,730.37,709.05
2010-10-01,880301,755.97,714.21
2010-10-08,880301,827.69,770.49
2010-10-15,880301,969.33,850.72
2010-10-22,880301,1050.8,921.55
2010-10-29,880301,1070.68,977.35
2010-11-05,880301,1058.14,970.79
2010-11-12,880301,1065.74,952.82
2010-11-19,880301,975.65,838.07
2010-11-26,880301,908.92,820.01
2010-12-03,880301,886.55,831.31
2010-12-10,880301,888.87,837.2
2010-12-17,880301,939.17,860.69
2010-12-24,880301,947.15,868.12
2010-12-31,880301,959.66,858.69
2011-01-07,880301,963.43,908.35
2011-01-14,880301,932.54,874.24
2011-01-21,880301,882.86,818.48
2011-01-28,880301,845.2,798.47
2011-02-04,880301,867.98,832.97
2011-02-11,880301,855.87,818.68
2011-02-18,880301,913.81,849.53
2011-02-25,880301,922.56,873.23
2011-03-04,880301,920.84,884.28
2011-03-11,880301,1017.35,922.68
2011-03-18,880301,983.97,899.78
2011-03-25,880301,991.88,936.86
2011-04-01,880301,1021.49,957.35
2011-04-08,880301,1026.39,987.43
2011-04-15,880301,1068.29,995.22
2011-04-22,880301,1031.4,980.43
2011-04-29,880301,995.9,946.95
2011-05-06,880301,980.78,879.63
2011-05-13,880301,929.36,892.26
2011-05-20,880301,956.7,901.54
2011-05-27,880301,935.56,890.22
2011-06-03,880301,935.43,884.53
2011-06-10,880301,933.37,888.24
2011-06-17,880301,927.54,875.59
2011-06-24,880301,960.07,879.26
2011-07-01,880301,996.27,933.43
2011-07-08,880301,1016.55,979.23
2011-07-15,880301,1008.6,953.17
2011-07-22,880301,1001.24,961.71
2011-07-29,880301,988.42,936.42
2011-08-05,880301,993.34,935.65
2011-08-12,880301,950.72,856.7
2011-08-19,880301,939.74,855.53
2011-08-26,880301,916.03,856.95
2011-09-02,880301,918.21,877.17
2011-09-09,880301,883.87,833.33
2011-09-16,880301,870.03,838.7
2011-09-23,880301,887.55,828.65
2011-09-30,880301,877.4,838.22
2011-10-14,880301,870.85,776.78
2011-10-21,880301,842.87,767.09
2011-10-28,880301,865.68,764.97
2011-11-04,880301,868.52,823.78
2011-11-11,880301,879.37,851.55
2011-11-18,880301,901.34,831.84
2011-11-25,880301,838.05,791.62
2011-12-02,880301,827.69,785.49
2011-12-09,880301,797.04,776.64
2011-12-16,880301,779.67,705.9
2011-12-23,880301,735.74,698.84
2011-12-30,880301,738.56,704.07
2012-01-06,880301,745.51,697.37
2012-01-13,880301,806.49,703.99
2012-01-20,880301,820.85,760.02
2012-02-03,880301,815.36,782.2
2012-02-10,880301,835.82,789.01
2012-02-17,880301,831.83,809.63
2012-02-24,880301,866.68,811.8
2012-03-02,880301,871.78,838.65
2012-03-09,880301,864.15,816.55
2012-03-16,880301,854.36,801.42
2012-03-23,880301,833.36,800.88
2012-03-30,880301,813.52,760.4
2012-04-06,880301,790.89,763.86
2012-04-13,880301,815.47,766.16
2012-04-20,880301,825.47,795.04
2012-04-27,880301,841.37,800.37
2012-05-04,880301,873.87,837.03
2012-05-11,880301,864.01,833.04
2012-05-18,880301,841.82,800.99
2012-05-25,880301,831.01,801.21
2012-06-01,880301,844.75,800.05
2012-06-08,880301,800.85,761.22
2012-06-15,880301,779.48,741.85
2012-06-22,880301,769.92,732.47
2012-06-29,880301,728.64,682.65
2012-07-06,880301,714.77,687.6
2012-07-13,880301,723.17,672.28
2012-07-20,880301,720.39,697.84
2012-07-27,880301,695.72,678.34
2012-08-03,880301,697.28,676.47
2012-08-10,880301,721.45,692.49
2012-08-17,880301,701.35,679.06
2012-08-24,880301,687.45,667.2
2012-08-31,880301,668.39,631.94
2012-09-07,880301,683.93,622.25
2012-09-14,880301,692.84,664.71
2012-09-21,880301,683.74,630.54
2012-09-28,880301,686.21,628.25
2012-10-12,880301,693.11,667.3
2012-10-19,880301,693.64,667.26
2012-10-26,880301,694.11,655.42
2012-11-02,880301,677.09,648.87
2012-11-09,880301,688.3,649.17
2012-11-16,880301,659.21,618.2
2012-11-23,880301,632.13,615.79
2012-11-30,880301,626.09,606.12
2012-12-07,880301,642.51,589.85
2012-12-14,880301,661.68,631.5
2012-12-21,880301,706.4,660.91
2012-12-28,880301,717.01,672.94
2013-01-04,880301,733.4,709.68
2013-01-11,880301,734.81,701.18
2013-01-18,880301,738.03,697.61
2013-01-25,880301,745.28,695.84
2013-02-01,880301,738.33,701.54
2013-02-08,880301,775.79,738.0
2013-02-22,880301,756.18,683.7
2013-03-01,880301,695.85,669.86
2013-03-08,880301,680.92,650.13
2013-03-15,880301,665.44,644.47
2013-03-22,880301,662.94,638.27
2013-03-29,880301,664.53,631.92
2013-04-05,880301,638.7,630.11
2013-04-12,880301,634.95,613.48
2013-04-19,880301,619.81,597.07
2013-04-26,880301,615.26,589.21
2013-05-03,880301,589.74,574.23
2013-05-10,880301,600.78,579.14
2013-05-17,880301,607.98,572.22
2013-05-24,880301,609.14,591.12
2013-05-31,880301,601.12,583.26
2013-06-07,880301,597.79,569.06
2013-06-14,880301,566.99,538.51
2013-06-21,880301,542.83,504.25
2013-06-28,880301,507.73,445.17
2013-07-05,880301,476.07,449.99
2013-07-12,880301,491.99,444.63
2013-07-19,880301,482.85,453.56
2013-07-26,880301,467.99,448.11
2013-08-02,880301,475.78,447.89
2013-08-09,880301,486.07,467.62
2013-08-16,880301,528.18,481.51
2013-08-23,880301,500.36,479.31
2013-08-30,880301,507.29,486.71
2013-09-06,880301,506.53,485.5
2013-09-13,880301,536.68,498.34
2013-09-20,880301,519.33,496.02
2013-09-27,880301,505.94,485.93
2013-10-04,880301,494.66,488.57
2013-10-11,880301,494.11,481.16
2013-10-18,880301,504.45,483.06
2013-10-25,880301,507.76,475.3
2013-11-01,880301,477.8,461.05
2013-11-08,880301,478.94,463.01
2013-11-15,880301,470.99,458.17
2013-11-22,880301,491.02,467.76
2013-11-29,880301,498.16,476.25
2013-12-06,880301,497.83,475.2
2013-12-13,880301,491.21,467.43
2013-12-20,880301,469.84,445.58
2013-12-27,880301,448.97,431.41
2014-01-03,880301,447.8,426.83
2014-01-10,880301,427.02,396.54
2014-01-17,880301,405.33,389.84
2014-01-24,880301,400.57,384.51
2014-01-31,880301,398.64,384.04
2014-02-07,880301,387.24,383.4
2014-02-14,880301,404.08,387.59
2014-02-21,880301,406.61,395.24
2014-02-28,880301,395.31,367.77
2014-03-07,880301,375.37,363.5
2014-03-14,880301,363.67,345.4
2014-03-21,880301,375.13,355.46
2014-03-28,880301,380.89,370.64
2014-04-04,880301,381.49,369.25
2014-04-11,880301,404.43,374.96
2014-04-18,880301,394.99,378.24
2014-04-25,880301,382.21,371.08
2014-05-02,880301,374.01,364.5
2014-05-09,880301,380.17,364.5
2014-05-16,880301,409.29,377.11
2014-05-23,880301,388.64,376.0
2014-05-30,880301,387.25,378.86
2014-05-30,880912,1034.51,997.68
2014-06-06,880301,384.22,375.49
2014-06-06,880912,1033.64,1003.16
2014-06-13,880301,383.7,375.93
2014-06-13,880912,1068.59,1006.44
2014-06-20,880301,384.77,373.27
2014-06-20,880912,1070.08,1000.95
2014-06-27,880301,385.86,376.08
2014-06-27,880912,1059.06,1015.12
2014-07-04,880301,389.82,379.57
2014-07-04,880912,1102.17,1045.59
2014-07-11,880301,387.94,380.23
2014-07-11,880912,1104.04,1058.28
2014-07-18,880301,388.78,381.3
2014-07-18,880912,1069.58,1032.38
2014-07-25,880301,416.1,381.56
2014-07-25,880912,1057.46,1018.0
2014-08-01,880301,449.93,416.91
2014-08-01,880912,1078.25,1042.73
2014-08-08,880301,462.41,435.24
2014-08-08,880912,1094.62,1049.69
2014-08-15,880301,450.05,437.81
2014-08-15,880912,1108.9,1082.08
2014-08-22,880301,454.26,436.6
2014-08-22,880912,1155.64,1103.26
2014-08-29,880301,439.71,424.66
2014-08-29,880912,1172.79,1131.29
2014-09-05,880301,451.99,429.82
2014-09-05,880912,1243.27,1164.14
2014-09-12,880301,457.06,443.31
2014-09-12,880912,1285.01,1233.74
2014-09-19,880301,457.32,441.15
2014-09-19,880912,1303.07,1228.62
2014-09-26,880301,459.88,442.72
2014-09-26,880912,1284.63,1239.86
2014-10-03,880301,473.8,455.31
2014-10-03,880912,1320.72,1275.4
2014-10-10,880301,477.03,459.02
2014-10-10,880912,1328.42,1296.76
2014-10-17,880301,476.2,448.88
2014-10-17,880912,1320.16,1263.56
2014-10-24,880301,457.05,436.73
2014-10-24,880912,1315.58,1240.48
2014-10-31,880301,464.36,430.43
2014-10-31,880912,1325.57,1222.57
2014-11-07,880301,472.26,453.63
2014-11-07,880912,1361.04,1318.53
2014-11-14,880301,478.66,456.08
2014-11-14,880912,1364.29,1300.79
2014-11-21,880301,479.96,455.32
2014-11-21,880912,1422.69,1318.4
2014-11-28,880301,498.85,463.87
2014-11-28,880912,1646.35,1451.89
2014-12-05,880301,576.93,493.57
2014-12-05,880912,1770.19,1599.85
2014-12-12,880301,584.37,521.75
2014-12-12,880912,1705.44,1545.03
2014-12-19,880301,573.63,524.9
2014-12-19,880912,1795.71,1679.04
2014-12-26,880301,615.13,541.57
2014-12-26,880912,1701.03,1568.56
2015-01-02,880301,598.99,563.81
2015-01-02,880912,1643.05,1546.25
2015-01-09,880301,676.57,586.49
2015-01-09,880912,1670.28,1530.71
2015-01-16,880301,620.05,580.17
2015-01-16,880912,1777.24,1634.6
2015-01-23,880301,594.34,545.9
2015-01-23,880912,1926.69,1688.03
2015-01-30,880301,586.34,554.13
2015-01-30,880912,1975.13,1861.21
2015-02-06,880301,565.97,520.2
2015-02-06,880912,2079.97,1839.82
2015-02-13,880301,545.41,519.29
2015-02-13,880912,2196.47,1946.78
2015-02-20,880301,546.38,540.4
2015-02-20,880912,2315.05,2170.9
2015-02-27,880301,558.3,533.72
2015-02-27,880912,2314.86,2173.79
2015-03-06,880301,565.89,539.61
2015-03-06,880912,2433.66,2273.51
2015-03-13,880301,580.91,537.06
2015-03-13,880912,2507.52,2286.14
2015-03-20,880301,611.96,568.25
2015-03-20,880912,2829.24,2541.51
2015-03-27,880301,621.2,591.44
2015-03-27,880912,3162.97,2820.02
2015-04-03,880301,644.5,612.14
2015-04-03,880912,3253.96,2904.04
2015-04-10,880301,664.9,626.61
2015-04-10,880912,3369.2,3049.51
2015-04-17,880301,698.41,640.92
2015-04-17,880912,3475.75,3160.24
2015-04-24,880301,758.92,674.83
2015-04-24,880912,3348.29,3059.11
2015-05-01,880301,786.47,724.38
2015-05-01,880912,3459.45,3111.44
2015-05-08,880301,740.14,643.31
2015-05-08,880912,3558.67,3204.36
2015-05-15,880301,685.57,659.39
2015-05-15,880912,4106.3,3577.37
2015-05-22,880301,713.27,647.06
2015-05-22,880912,4126.92,3912.23
2015-05-29,880301,775.35,677.21
2015-05-29,880912,4166.54,3743.57
2015-06-05,880301,852.0,702.44
2015-06-05,880912,4586.24,3943.57
2015-06-12,880301,903.18,814.16
2015-06-12,880912,4706.61,4272.43
2015-06-19,880301,880.63,770.45
2015-06-19,880912,4618.69,3966.15
2015-06-26,880301,848.28,725.36
2015-06-26,880912,4123.21,3405.78
2015-07-03,880301,752.97,586.62
2015-07-03,880912,3430.72,2634.51
2015-07-10,880301,647.95,529.87
2015-07-10,880912,2886.09,2414.92
2015-07-17,880301,674.06,584.6
2015-07-17,880912,2809.4,2452.22
2015-07-24,880301,686.76,615.59
2015-07-24,880912,2995.95,2742.34
2015-07-31,880301,653.68,552.72
2015-07-31,880912,2900.46,2514.0
2015-08-07,880301,626.67,569.22
2015-08-07,880912,2586.18,2394.93
2015-08-14,880301,705.56,631.01
2015-08-14,880912,2826.71,2572.02
2015-08-21,880301,692.85,577.12
2015-08-21,880912,2757.83,2341.9
2015-08-28,880301,561.56,444.79
2015-08-28,880912,2267.06,1805.87
2015-09-04,880301,513.31,479.1
2015-09-04,880912,2025.35,1760.61
2015-09-11,880301,521.81,472.26
2015-09-11,880912,2012.87,1793.82
2015-09-18,880301,510.85,457.42
2015-09-18,880912,2005.89,1738.16
2015-09-25,880301,506.85,471.16
2015-09-25,880912,2069.94,1819.42
2015-10-02,880301,481.28,460.46
2015-10-02,880912,2003.42,1900.51
2015-10-09,880301,491.6,478.72
2015-10-09,880912,2083.5,2002.33
2015-10-16,880301,527.09,491.58
2015-10-16,880912,2383.08,2084.14
2015-10-23,880301,530.31,491.2
2015-10-23,880912,2539.25,2331.92
2015-10-30,880301,524.56,495.17
2015-10-30,880912,2603.07,2420.38
2015-11-06,880301,537.6,487.17
2015-11-06,880912,2722.73,2439.59
2015-11-13,880301,553.09,528.19
2015-11-13,880912,2881.7,2642.2
2015-11-20,880301,548.54,520.59
2015-11-20,880912,2888.75,2690.49
2015-11-27,880301,544.19,499.57
2015-11-27,880912,2973.36,2628.87
2015-12-04,880301,522.03,482.33
2015-12-04,880912,2684.41,2478.13
2015-12-11,880301,512.71,483.9
2015-12-11,880912,2663.26,2544.48
2015-12-18,880301,513.74,486.13
2015-12-18,880912,2686.41,2501.29
2015-12-25,880301,527.59,506.63
2015-12-25,880912,2671.73,2544.74
2016-01-01,880301,515.28,496.64
2016-01-01,880912,2650.52,2525.02
2016-01-08,880301,518.32,454.04
2016-01-08,880912,2523.24,2001.47
2016-01-15,880301,515.14,448.07
2016-01-15,880912,2125.83,1889.41
2016-01-22,880301,466.37,441.52
2016-01-22,880912,2084.53,1918.96
2016-01-29,880301,481.92,429.88
2016-01-29,880912,2012.48,1658.13
